,_t,_o,_h,_l,_c,_v
0,1589365080000,233.86000000,233.90000000,233.81000000,233.86000000,5.43161000
1,1589365140000,233.80000000,233.86000000,233.71000000,233.77000000,27.11557000
2,1589365200000,233.77000000,234.02000000,233.75000000,234.02000000,39.17011000
3,1589365260000,234.00000000,234.02000000,233.86000000,233.94000000,22.60942000
4,1589365320000,233.92000000,233.92000000,233.70000000,233.82000000,120.85630000
5,1589365380000,233.82000000,233.84000000,233.78000000,233.84000000,32.87572000
6,1589365440000,233.84000000,233.85000000,233.78000000,233.80000000,14.89272000
7,1589365500000,233.79000000,233.83000000,233.79000000,233.81000000,9.03995000
8,1589365560000,233.83000000,233.83000000,233.69000000,233.74000000,8.27980000
9,1589365620000,233.72000000,233.75000000,233.66000000,233.66000000,6.91860000
10,1589365680000,233.58000000,233.66000000,233.14000000,233.44000000,206.12615000
11,1589365740000,233.47000000,233.58000000,233.45000000,233.53000000,12.34077000
12,1589365800000,233.53000000,233.53000000,233.33000000,233.49000000,95.03867000
13,1589365860000,233.47000000,233.57000000,233.47000000,233.50000000,22.01125000
14,1589365920000,233.48000000,233.65000000,233.48000000,233.59000000,59.31650000
15,1589365980000,233.61000000,233.61000000,233.42000000,233.52000000,13.35192000
16,1589366040000,233.53000000,233.63000000,233.42000000,233.63000000,64.82436000
17,1589366100000,233.63000000,233.63000000,233.56000000,233.59000000,2.28397000
18,1589366160000,233.55000000,233.60000000,233.52000000,233.58000000,3.59034000
19,1589366220000,233.58000000,233.69000000,233.56000000,233.61000000,34.76350000
20,1589366280000,233.64000000,233.64000000,233.56000000,233.64000000,11.10441000
21,1589366340000,233.64000000,233.68000000,233.59000000,233.68000000,4.32154000
22,1589366400000,233.62000000,233.71000000,233.48000000,233.68000000,22.18796000
23,1589366460000,233.67000000,233.67000000,233.56000000,233.59000000,15.05330000
24,1589366520000,233.61000000,233.84000000,233.61000000,233.84000000,178.19303000
25,1589366580000,233.89000000,233.91000000,233.83000000,233.83000000,5.91146000
26,1589366640000,233.89000000,233.93000000,233.77000000,233.80000000,14.22208000
27,1589366700000,233.78000000,233.86000000,233.68000000,233.81000000,12.54039000
28,1589366760000,233.87000000,233.89000000,233.70000000,233.72000000,27.45932000
29,1589366820000,233.73000000,233.89000000,233.72000000,233.88000000,19.44566000
30,1589366880000,233.87000000,233.99000000,233.84000000,233.89000000,18.62709000
31,1589366940000,234.00000000,234.00000000,233.79000000,233.79000000,24.87856000
32,1589367000000,233.81000000,234.15000000,233.78000000,234.06000000,81.63471000
33,1589367060000,234.05000000,234.13000000,233.93000000,233.94000000,26.56127000
34,1589367120000,233.94000000,234.17000000,233.94000000,234.00000000,197.59966000
35,1589367180000,233.96000000,233.96000000,233.83000000,233.87000000,26.73596000
36,1589367240000,233.84000000,233.90000000,233.78000000,233.88000000,25.34298000
37,1589367300000,233.88000000,234.10000000,233.78000000,234.07000000,24.57685000
38,1589367360000,234.09000000,234.18000000,234.04000000,234.07000000,49.20582000
39,1589367420000,234.09000000,234.20000000,234.01000000,234.04000000,18.08741000
40,1589367480000,234.12000000,234.25000000,234.01000000,234.25000000,29.23351000
41,1589367540000,234.27000000,234.27000000,234.05000000,234.17000000,26.17413000
42,1589367600000,234.19000000,234.62000000,234.19000000,234.56000000,199.88773000
43,1589367660000,234.53000000,234.70000000,234.43000000,234.56000000,210.40666000
44,1589367720000,234.62000000,234.72000000,234.53000000,234.72000000,78.18295000
45,1589367780000,234.70000000,234.98000000,234.55000000,234.94000000,99.28965000
46,1589367840000,234.99000000,234.99000000,234.70000000,234.74000000,205.56817000
47,1589367900000,234.75000000,234.83000000,234.52000000,234.70000000,92.92738000
48,1589367960000,234.64000000,234.80000000,234.58000000,234.70000000,84.63754000
49,1589368020000,234.60000000,234.74000000,234.42000000,234.55000000,82.30163000
50,1589368080000,234.53000000,234.70000000,234.47000000,234.65000000,28.98078000
51,1589368140000,234.64000000,234.65000000,234.59000000,234.65000000,13.98357000
52,1589368200000,234.65000000,234.65000000,234.49000000,234.52000000,53.40674000
53,1589368260000,234.56000000,234.64000000,234.56000000,234.60000000,11.81191000
54,1589368320000,234.62000000,234.65000000,234.51000000,234.62000000,18.73802000
55,1589368380000,234.59000000,234.60000000,234.55000000,234.58000000,10.34507000
56,1589368440000,234.58000000,234.70000000,234.54000000,234.56000000,59.58886000
57,1589368500000,234.56000000,234.67000000,234.49000000,234.67000000,43.13624000
58,1589368560000,234.65000000,234.87000000,234.64000000,234.73000000,41.58777000
59,1589368620000,234.75000000,234.94000000,234.54000000,234.93000000,44.03229000
60,1589368680000,234.91000000,234.93000000,234.85000000,234.89000000,9.83216000
61,1589368740000,234.79000000,234.80000000,234.50000000,234.57000000,43.07280000
62,1589368800000,234.57000000,234.66000000,234.50000000,234.50000000,57.71418000
63,1589368860000,234.52000000,234.58000000,234.36000000,234.36000000,64.58802000
64,1589368920000,234.36000000,234.49000000,234.33000000,234.48000000,19.40071000
65,1589368980000,234.48000000,234.48000000,234.00000000,234.13000000,87.62983000
66,1589369040000,234.23000000,234.37000000,234.19000000,234.21000000,27.71023000
67,1589369100000,234.28000000,234.39000000,234.17000000,234.32000000,20.60975000
68,1589369160000,234.32000000,234.37000000,234.20000000,234.37000000,49.69470000
69,1589369220000,234.37000000,234.50000000,234.34000000,234.40000000,5.44350000
70,1589369280000,234.42000000,234.42000000,234.11000000,234.18000000,28.12745000
71,1589369340000,234.22000000,234.25000000,234.13000000,234.15000000,6.79948000
72,1589369400000,234.11000000,234.30000000,234.03000000,234.17000000,48.74766000
73,1589369460000,234.17000000,234.33000000,234.09000000,234.24000000,23.10127000
