,_t,_o,_h,_l,_c,_v
0,1589068800000,16.77530000,16.78990000,16.71000000,16.78950000,14135.25000000
1,1589068860000,16.78950000,16.79000000,16.75620000,16.76410000,2530.03000000
2,1589068920000,16.76030000,16.76430000,16.68950000,16.69930000,10162.25000000
3,1589068980000,16.69930000,16.70000000,16.67130000,16.67930000,5357.88000000
4,1589069040000,16.67230000,16.68740000,16.63820000,16.63920000,5446.90000000
5,1589069100000,16.63950000,16.64830000,16.58800000,16.59660000,10703.41000000
6,1589069160000,16.59670000,16.60090000,16.54890000,16.56620000,10963.42000000
7,1589069220000,16.56610000,16.60090000,16.55210000,16.59920000,5119.31000000
8,1589069280000,16.59990000,16.60670000,16.57120000,16.59070000,3286.44000000
9,1589069340000,16.59070000,16.60650000,16.59000000,16.59440000,2956.53000000
10,1589069400000,16.59840000,16.59980000,16.58710000,16.58710000,1702.98000000
11,1589069460000,16.59000000,16.59690000,16.58180000,16.59310000,2053.89000000
12,1589069520000,16.59260000,16.60000000,16.57820000,16.58540000,2668.84000000
13,1589069580000,16.58540000,16.58780000,16.51000000,16.53140000,7331.00000000
14,1589069640000,16.53220000,16.54430000,16.50000000,16.50000000,12642.69000000
15,1589069700000,16.50000000,16.50040000,16.25000000,16.27610000,33440.65000000
16,1589069760000,16.28010000,16.32540000,16.22320000,16.22320000,11288.75000000
17,1589069820000,16.22320000,16.22320000,15.68000000,15.78850000,50401.64000000
18,1589069880000,15.76360000,15.81840000,15.13000000,15.24990000,35600.22000000
19,1589069940000,15.23890000,15.33240000,14.75980000,14.82620000,37595.06000000
20,1589070000000,14.82170000,14.82170000,14.20000000,14.24590000,42787.20000000
21,1589070060000,14.24730000,14.26290000,14.00000000,14.04360000,33419.41000000
22,1589070120000,14.04360000,14.61300000,14.00000000,14.51710000,37374.73000000
23,1589070180000,14.51710000,14.64460000,14.04880000,14.06460000,32767.92000000
24,1589070240000,14.05060000,14.39880000,13.91290000,14.27840000,31951.33000000
25,1589070300000,14.27850000,14.61760000,14.24240000,14.61760000,22484.94000000
26,1589070360000,14.62490000,14.85790000,14.60290000,14.84680000,17073.33000000
27,1589070420000,14.84680000,15.00420000,14.72630000,14.80040000,17915.06000000
28,1589070480000,14.80040000,14.85670000,14.75450000,14.79900000,16181.13000000
29,1589070540000,14.80430000,14.90000000,14.78060000,14.81900000,15786.04000000
30,1589070600000,14.79530000,14.87660000,14.73270000,14.87660000,17048.43000000
31,1589070660000,14.88310000,15.03360000,14.83390000,15.02260000,14547.00000000
32,1589070720000,15.00800000,15.21420000,15.00080000,15.20070000,10614.56000000
33,1589070780000,15.20400000,15.45000000,15.15000000,15.27550000,16146.66000000
34,1589070840000,15.27410000,15.37870000,15.24700000,15.35130000,17501.01000000
35,1589070900000,15.35250000,15.35270000,15.25430000,15.29630000,13024.47000000
36,1589070960000,15.29580000,15.29720000,15.16620000,15.19670000,8468.25000000
37,1589071020000,15.19680000,15.33330000,15.12420000,15.27470000,9021.57000000
38,1589071080000,15.27350000,15.37750000,15.27000000,15.28640000,7628.56000000
39,1589071140000,15.28580000,15.37430000,15.27000000,15.34330000,5999.02000000
40,1589071200000,15.35280000,15.36870000,15.20930000,15.26910000,4496.75000000
41,1589071260000,15.25670000,15.29780000,15.21490000,15.28820000,7541.71000000
42,1589071320000,15.26060000,15.35000000,15.25210000,15.31760000,6922.74000000
43,1589071380000,15.30700000,15.35640000,15.29360000,15.33880000,6385.62000000
44,1589071440000,15.34000000,15.34000000,15.25000000,15.29400000,6361.88000000
45,1589071500000,15.29890000,15.34000000,15.27600000,15.33210000,2648.88000000
46,1589071560000,15.33160000,15.43100000,15.32460000,15.39920000,5278.22000000
47,1589071620000,15.40000000,15.44990000,15.39430000,15.44070000,3588.63000000
48,1589071680000,15.44070000,15.46000000,15.33700000,15.42240000,9377.66000000
49,1589071740000,15.41390000,15.45790000,15.40050000,15.43560000,4856.05000000
50,1589071800000,15.44800000,15.49940000,15.40110000,15.47700000,5039.81000000
51,1589071860000,15.49390000,15.49800000,15.36610000,15.42580000,10551.30000000
52,1589071920000,15.40840000,15.50000000,15.38500000,15.41220000,8568.49000000
53,1589071980000,15.42370000,15.47350000,15.40280000,15.41740000,4362.54000000
54,1589072040000,15.42880000,15.48910000,15.41390000,15.47740000,5341.46000000
55,1589072100000,15.48130000,15.48890000,15.36380000,15.40200000,5545.73000000
56,1589072160000,15.38870000,15.40300000,15.07500000,15.14090000,9740.54000000
57,1589072220000,15.15990000,15.20000000,15.03520000,15.18000000,9233.68000000
58,1589072280000,15.19770000,15.32260000,15.17570000,15.24060000,15391.90000000
59,1589072340000,15.24100000,15.41000000,15.23470000,15.38140000,7758.98000000
60,1589072400000,15.40120000,15.40220000,15.23980000,15.30020000,11203.11000000
61,1589072460000,15.29260000,15.40000000,15.27270000,15.27460000,6447.27000000
62,1589072520000,15.26980000,15.39900000,15.25370000,15.31300000,5948.55000000
63,1589072580000,15.31300000,15.36290000,15.26740000,15.32560000,3876.84000000
64,1589072640000,15.32520000,15.35000000,15.31080000,15.33810000,2935.38000000
65,1589072700000,15.33790000,15.33790000,15.27250000,15.29870000,3455.71000000
66,1589072760000,15.28940000,15.33790000,15.27890000,15.31460000,1939.15000000
67,1589072820000,15.31450000,15.35000000,15.30000000,15.30940000,3414.32000000
68,1589072880000,15.30030000,15.35380000,15.30020000,15.35380000,4320.74000000
69,1589072940000,15.35380000,15.36000000,15.31260000,15.33320000,3385.74000000
70,1589073000000,15.33320000,15.33800000,15.26270000,15.26270000,6426.67000000
71,1589073060000,15.27470000,15.33270000,15.26270000,15.30830000,1914.83000000
72,1589073120000,15.30340000,15.37870000,15.29860000,15.37130000,4511.40000000
73,1589073180000,15.37130000,15.38170000,15.32440000,15.34790000,1070.03000000
74,1589073240000,15.34790000,15.39230000,15.34740000,15.39220000,1422.79000000
75,1589073300000,15.39230000,15.40000000,15.35970000,15.36010000,2202.37000000
76,1589073360000,15.35590000,15.37620000,15.32480000,15.33990000,2251.41000000
77,1589073420000,15.33200000,15.37170000,15.32430000,15.35030000,1525.10000000
78,1589073480000,15.35030000,15.39540000,15.34110000,15.36640000,2194.78000000
79,1589073540000,15.35050000,15.37360000,15.35050000,15.36310000,522.18000000
80,1589073600000,15.36520000,15.40910000,15.35770000,15.40000000,2028.94000000
81,1589073660000,15.40090000,15.45000000,15.40040000,15.45000000,2599.01000000
82,1589073720000,15.44990000,15.46700000,15.43160000,15.44430000,1626.32000000
83,1589073780000,15.45240000,15.48970000,15.45060000,15.48970000,1329.29000000
84,1589073840000,15.48470000,15.49120000,15.47220000,15.48770000,1140.93000000
85,1589073900000,15.49130000,15.52000000,15.48740000,15.51740000,1606.08000000
86,1589073960000,15.51730000,15.51990000,15.51000000,15.51990000,2478.88000000
87,1589074020000,15.51990000,15.55100000,15.51980000,15.52590000,4058.23000000
88,1589074080000,15.52550000,15.52980000,15.46190000,15.46190000,2989.50000000
89,1589074140000,15.45860000,15.52720000,15.45470000,15.51050000,2348.33000000
90,1589074200000,15.51070000,15.52380000,15.45470000,15.45540000,5772.25000000
91,1589074260000,15.45520000,15.45520000,15.33170000,15.37180000,5952.48000000
92,1589074320000,15.36250000,15.41360000,15.27690000,15.34760000,6351.37000000
93,1589074380000,15.34810000,15.36610000,15.27690000,15.28210000,3870.36000000
94,1589074440000,15.29650000,15.40770000,15.29000000,15.40000000,5807.35000000
95,1589074500000,15.38920000,15.40160000,15.31950000,15.37000000,5012.40000000
96,1589074560000,15.37480000,15.38470000,15.35850000,15.37900000,967.74000000
97,1589074620000,15.37700000,15.39990000,15.37130000,15.38860000,3705.19000000
