,_t,_o,_h,_l,_c,_v
0,1589365080000,8909.05000000,8913.73000000,8907.55000000,8913.26000000,12.12499400
1,1589365140000,8913.30000000,8913.74000000,8908.30000000,8908.85000000,19.20964400
2,1589365200000,8908.32000000,8918.13000000,8908.30000000,8917.56000000,30.32101700
3,1589365260000,8917.56000000,8918.63000000,8915.00000000,8916.22000000,12.88268700
4,1589365320000,8916.21000000,8917.78000000,8915.00000000,8915.90000000,11.75993700
5,1589365380000,8915.87000000,8919.00000000,8915.79000000,8918.99000000,9.55201500
6,1589365440000,8918.55000000,8919.00000000,8915.49000000,8917.82000000,42.84598500
7,1589365500000,8917.81000000,8918.90000000,8915.50000000,8918.64000000,32.42016400
8,1589365560000,8918.56000000,8918.73000000,8913.09000000,8914.67000000,17.48909900
9,1589365620000,8914.68000000,8916.37000000,8912.00000000,8912.07000000,16.46010000
10,1589365680000,8912.07000000,8912.08000000,8900.00000000,8901.92000000,322.43670000
11,1589365740000,8901.92000000,8907.88000000,8901.87000000,8905.55000000,42.84924200
12,1589365800000,8905.54000000,8905.87000000,8900.00000000,8900.97000000,268.78572800
13,1589365860000,8901.34000000,8909.40000000,8901.07000000,8906.37000000,34.49330100
14,1589365920000,8905.57000000,8908.18000000,8902.99000000,8905.00000000,12.82797600
15,1589365980000,8905.00000000,8905.09000000,8896.06000000,8903.68000000,254.68890600
16,1589366040000,8904.11000000,8905.98000000,8897.63000000,8905.97000000,22.41706500
17,1589366100000,8905.97000000,8908.18000000,8903.31000000,8904.51000000,10.44924500
18,1589366160000,8904.51000000,8908.61000000,8904.50000000,8908.09000000,10.87433900
19,1589366220000,8908.35000000,8914.73000000,8907.70000000,8913.17000000,11.38519300
20,1589366280000,8913.34000000,8916.50000000,8911.35000000,8915.14000000,10.84019300
21,1589366340000,8915.55000000,8917.55000000,8912.72000000,8914.90000000,28.48935400
22,1589366400000,8914.89000000,8916.38000000,8912.15000000,8915.21000000,16.36233300
23,1589366460000,8915.21000000,8915.21000000,8912.80000000,8913.62000000,13.73242300
24,1589366520000,8913.84000000,8919.00000000,8913.84000000,8917.06000000,23.38981700
25,1589366580000,8917.07000000,8918.00000000,8912.51000000,8913.30000000,12.52010000
26,1589366640000,8913.52000000,8918.23000000,8913.07000000,8913.16000000,19.25472600
27,1589366700000,8913.16000000,8916.77000000,8908.38000000,8913.75000000,25.48020300
28,1589366760000,8913.71000000,8917.35000000,8911.42000000,8917.01000000,28.06133600
29,1589366820000,8917.03000000,8923.00000000,8917.01000000,8921.60000000,18.51092500
30,1589366880000,8921.61000000,8934.17000000,8921.04000000,8930.35000000,114.98877900
31,1589366940000,8930.49000000,8932.81000000,8914.63000000,8916.81000000,99.39491300
32,1589367000000,8916.56000000,8950.00000000,8916.56000000,8948.17000000,140.82683100
33,1589367060000,8946.27000000,8948.16000000,8935.71000000,8942.74000000,124.75481600
34,1589367120000,8942.73000000,8954.04000000,8939.68000000,8949.53000000,116.44913700
35,1589367180000,8949.33000000,8950.78000000,8941.95000000,8944.72000000,71.97458600
36,1589367240000,8944.72000000,8946.98000000,8940.35000000,8944.71000000,69.45318500
37,1589367300000,8944.71000000,8951.99000000,8936.85000000,8951.10000000,64.67169400
38,1589367360000,8951.70000000,8960.00000000,8946.07000000,8951.35000000,402.99005800
39,1589367420000,8949.15000000,8955.00000000,8945.00000000,8948.03000000,67.58291700
40,1589367480000,8948.76000000,8958.25000000,8945.86000000,8954.56000000,71.20157200
41,1589367540000,8954.56000000,8955.00000000,8945.23000000,8948.05000000,53.47158500
42,1589367600000,8949.70000000,9000.00000000,8948.05000000,8988.65000000,527.39821300
43,1589367660000,8988.65000000,9006.00000000,8985.25000000,8994.21000000,331.39699600
44,1589367720000,8994.20000000,8998.57000000,8982.85000000,8991.85000000,122.73475800
45,1589367780000,8991.44000000,8992.98000000,8982.00000000,8991.52000000,66.02332000
46,1589367840000,8991.44000000,8991.99000000,8975.29000000,8980.00000000,112.28309200
47,1589367900000,8980.01000000,8981.55000000,8966.97000000,8974.68000000,214.92895100
48,1589367960000,8976.19000000,8989.40000000,8973.33000000,8978.94000000,67.03595200
49,1589368020000,8979.29000000,8981.51000000,8966.98000000,8973.64000000,154.81692100
50,1589368080000,8973.65000000,8979.30000000,8968.27000000,8976.99000000,54.25393700
51,1589368140000,8976.99000000,8983.52000000,8972.86000000,8980.43000000,23.09100700
52,1589368200000,8980.43000000,8984.59000000,8976.03000000,8982.02000000,38.15443000
53,1589368260000,8982.46000000,8989.89000000,8982.08000000,8989.07000000,27.60027200
54,1589368320000,8989.08000000,8989.10000000,8978.92000000,8981.55000000,38.66497900
55,1589368380000,8981.55000000,8983.73000000,8978.08000000,8979.00000000,34.16173000
56,1589368440000,8978.76000000,8987.98000000,8978.76000000,8981.35000000,48.88788000
57,1589368500000,8981.36000000,8987.00000000,8974.74000000,8982.85000000,103.22519600
58,1589368560000,8982.85000000,9002.19000000,8982.66000000,8996.02000000,130.35460000
59,1589368620000,8996.02000000,8996.15000000,8983.70000000,8986.38000000,48.77747900
60,1589368680000,8987.05000000,8989.08000000,8985.09000000,8987.74000000,39.82126000
61,1589368740000,8987.74000000,8987.74000000,8968.00000000,8972.94000000,104.29195300
62,1589368800000,8974.24000000,8980.25000000,8970.10000000,8972.29000000,35.13648900
63,1589368860000,8972.29000000,8974.17000000,8962.17000000,8964.88000000,65.45510800
64,1589368920000,8964.88000000,8969.37000000,8961.00000000,8965.51000000,45.75331800
65,1589368980000,8966.64000000,8966.64000000,8928.00000000,8938.67000000,388.53481200
66,1589369040000,8939.98000000,8950.02000000,8935.18000000,8946.94000000,68.02946000
67,1589369100000,8946.43000000,8957.78000000,8941.22000000,8954.00000000,64.29859800
68,1589369160000,8954.01000000,8955.25000000,8947.97000000,8950.90000000,44.81750600
69,1589369220000,8950.44000000,8962.72000000,8950.44000000,8961.28000000,23.90376200
70,1589369280000,8960.63000000,8963.14000000,8950.25000000,8952.44000000,54.59710500
71,1589369340000,8954.16000000,8957.20000000,8950.00000000,8951.55000000,27.69275800
72,1589369400000,8951.56000000,8956.01000000,8935.00000000,8944.00000000,75.28760300
73,1589369460000,8943.90000000,8950.00000000,8943.54000000,8946.21000000,74.58669300
74,1589369520000,8945.14000000,8950.00000000,8945.14000000,8947.82000000,40.66396500
75,1589369580000,8948.36000000,8950.31000000,8939.19000000,8944.28000000,48.48239500
76,1589369640000,8944.29000000,8950.77000000,8941.01000000,8943.70000000,40.33656000
