,_t,_o,_h,_l,_c,_v
0,1589365080000,190.00000000,190.12000000,190.00000000,190.10000000,35.83587000
1,1589365140000,190.10000000,190.10000000,189.97000000,190.09000000,158.29457000
2,1589365200000,190.07000000,190.24000000,190.01000000,190.23000000,167.12875000
3,1589365260000,190.22000000,190.28000000,190.17000000,190.23000000,96.73231000
4,1589365320000,190.18000000,190.27000000,190.18000000,190.23000000,72.44434000
5,1589365380000,190.24000000,190.27000000,190.22000000,190.24000000,40.73195000
6,1589365440000,190.24000000,190.27000000,190.12000000,190.15000000,157.73901000
7,1589365500000,190.15000000,190.18000000,190.05000000,190.17000000,257.53226000
8,1589365560000,190.15000000,190.19000000,190.07000000,190.09000000,50.75554000
9,1589365620000,190.10000000,190.10000000,190.00000000,190.02000000,138.55823000
10,1589365680000,190.02000000,190.02000000,189.61000000,189.81000000,4354.14699000
11,1589365740000,189.81000000,189.94000000,189.78000000,189.89000000,1337.25803000
12,1589365800000,189.87000000,189.87000000,189.65000000,189.86000000,298.01921000
13,1589365860000,189.87000000,189.94000000,189.81000000,189.90000000,401.02919000
14,1589365920000,189.90000000,189.94000000,189.83000000,189.89000000,209.77645000
15,1589365980000,189.88000000,189.94000000,189.76000000,189.94000000,209.55454000
16,1589366040000,189.91000000,189.96000000,189.79000000,189.95000000,1068.59886000
17,1589366100000,189.96000000,190.00000000,189.91000000,189.92000000,114.85362000
18,1589366160000,189.92000000,189.95000000,189.88000000,189.92000000,51.50448000
19,1589366220000,189.92000000,190.00000000,189.90000000,189.99000000,886.36884000
20,1589366280000,189.99000000,190.00000000,189.93000000,189.94000000,84.29084000
21,1589366340000,189.94000000,190.04000000,189.94000000,189.98000000,490.62738000
22,1589366400000,189.97000000,190.04000000,189.96000000,189.97000000,78.78637000
23,1589366460000,189.98000000,190.00000000,189.87000000,189.92000000,201.66098000
24,1589366520000,189.92000000,190.05000000,189.92000000,190.03000000,116.31881000
25,1589366580000,190.05000000,190.07000000,190.00000000,190.03000000,44.57299000
26,1589366640000,190.00000000,190.10000000,190.00000000,190.06000000,85.22491000
27,1589366700000,190.06000000,190.08000000,189.95000000,190.05000000,1097.40294000
28,1589366760000,190.01000000,190.08000000,190.00000000,190.06000000,61.73514000
29,1589366820000,190.06000000,190.15000000,190.06000000,190.14000000,138.70639000
30,1589366880000,190.12000000,190.19000000,190.10000000,190.18000000,1187.06707000
31,1589366940000,190.17000000,190.32000000,190.03000000,190.11000000,1432.66592000
32,1589367000000,190.09000000,190.40000000,190.08000000,190.40000000,655.35491000
33,1589367060000,190.39000000,190.41000000,190.26000000,190.38000000,538.51099000
34,1589367120000,190.34000000,190.44000000,190.26000000,190.34000000,867.78776000
35,1589367180000,190.36000000,190.36000000,190.20000000,190.27000000,388.27074000
36,1589367240000,190.25000000,190.28000000,190.19000000,190.22000000,141.91769000
37,1589367300000,190.22000000,190.44000000,190.11000000,190.40000000,466.59284000
38,1589367360000,190.41000000,190.54000000,190.38000000,190.46000000,1634.51272000
39,1589367420000,190.44000000,190.48000000,190.35000000,190.40000000,77.99725000
40,1589367480000,190.41000000,190.55000000,190.35000000,190.49000000,92.74806000
41,1589367540000,190.51000000,190.53000000,190.35000000,190.45000000,246.02567000
42,1589367600000,190.47000000,190.96000000,190.47000000,190.91000000,3645.41720000
43,1589367660000,190.86000000,190.95000000,190.72000000,190.81000000,2860.83802000
44,1589367720000,190.82000000,190.92000000,190.72000000,190.88000000,802.81517000
